date,ticker,rank,name,sector,weight,exists,added_today,dropped_today
2025-04-01,A,86.0,AGILENT TECHNOLOGIES INC,Health Care,0.26735,1.0,False,False
2025-04-01,ADBE,9.0,ADOBE INC,Information Technology,1.822,1.0,False,False
2025-04-01,ADP,24.0,AUTOMATIC DATA PROCESSING INC,Industrials,1.02935,1.0,False,False
2025-04-01,ADSK,37.0,AUTODESK INC,Information Technology,0.61945,1.0,False,False
2025-04-01,ALLE,158.0,ALLEGION PLC,Industrials,0.09347,1.0,False,False
2025-04-01,ALLY,165.0,ALLY FINANCIAL INC,Financials,0.0816,1.0,False,False
2025-04-01,ALNY,,,,,0.0,False,False
2025-04-01,AMAT,15.0,APPLIED MATERIAL INC,Information Technology,1.29477,1.0,False,False
2025-04-01,AMGN,13.0,AMGEN INC,Health Care,1.35815,1.0,False,False
2025-04-01,AMP,61.0,AMERIPRISE FINANCE INC,Financials,0.38838,1.0,False,False
2025-04-01,AMT,31.0,AMERICAN TOWER REIT CORP,Real Estate,0.84612,1.0,False,False
2025-04-01,ANSS,,,,,0.0,False,False
2025-04-01,APTV,148.0,APTIV PLC,Consumer Discretionary,0.11262,1.0,False,False
2025-04-01,ATO,89.0,ATMOS ENERGY CORP,Utilities,0.26331,1.0,False,False
2025-04-01,AVTR,160.0,AVANTOR INC,Health Care,0.09167,1.0,False,False
2025-04-01,AWK,78.0,AMERICAN WATER WORKS INC,Utilities,0.31391,1.0,False,False
2025-04-01,AXON,76.0,AXON ENTERPRISE INC,Industrials,0.32579,1.0,False,False
2025-04-01,AXP,17.0,AMERICAN EXPRESS,Financials,1.25539,1.0,False,False
2025-04-01,BALL,,,,,0.0,False,False
2025-04-01,BBY,142.0,BEST BUY INC,Consumer Discretionary,0.1228,1.0,False,False
2025-04-01,BEN,170.0,FRANKLIN RESOURCES INC,Financials,0.04879,1.0,False,False
2025-04-01,BG,163.0,BUNGE GLOBAL SA,Consumer Staples,0.08834,1.0,False,False
2025-04-01,BIIB,127.0,BIOGEN INC,Health Care,0.15798,1.0,False,False
2025-04-01,BK,52.0,BANK OF NEW YORK MELLON CORP,Financials,0.4933,1.0,False,False
2025-04-01,BKNG,16.0,BOOKING HOLDINGS INC,Consumer Discretionary,1.25937,1.0,False,False
2025-04-01,BKR,64.0,BAKER HUGHES CLASS A,Energy,0.3639,1.0,False,False
2025-04-01,BLK,18.0,BLACKROCK INC,Financials,1.14345,1.0,False,False
2025-04-01,BR,100.0,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,0.23439,1.0,False,False
2025-04-01,CAG,149.0,CONAGRA BRANDS INC,Consumer Staples,0.10352,1.0,False,False
2025-04-01,CARR,58.0,CARRIER GLOBAL CORP,Industrials,0.42082,1.0,False,False
2025-04-01,CB,29.0,CHUBB LTD,Financials,0.95169,1.0,False,False
2025-04-01,CBRE,74.0,CBRE GROUP INC CLASS A,Real Estate,0.32866,1.0,False,False
